60/61,12.speeldag,11 dec. 1960,14:45,RUSG,Union Saint-Gilloise,1:3,Beers.,Royal Beerschot AC
60/61,12.speeldag,11 dec. 1960,14:45,FCB,Club Brugge,0:1,Associ,Association Royale Athlétique Gent
60/61,13.speeldag,18 dec. 1960,14:45,RSCA,RSC Anderlecht,0:0,FCB,Club Brugge
60/61,13.speeldag,18 dec. 1960,14:45,RFCL,RFC Luik,1:1,RAFC,R Antwerp FC
60/61,13.speeldag,18 dec. 1960,14:45,Beers.,Royal Beerschot AC,1:1,STVV,Sint-Truidense VV
60/61,13.speeldag,18 dec. 1960,14:45,Associ,Association Royale Athlétique Gent,1:1,KPaEis,K Patro Eisden
60/61,13.speeldag,18 dec. 1960,14:45,Olympi,Olympic Charleroi,0:0,Vervié,Stade Verviétois
60/61,13.speeldag,18 dec. 1960,14:45,Waters,Waterschei SV THOR (- 1988),4:0,RUSG,Union Saint-Gilloise
60/61,13.speeldag,18 dec. 1960,14:45,DAR,Daring Club Brussel,3:1,SL,Standard Luik
60/61,13.speeldag,18 dec. 1960,14:45,Lierse,Lierse SK (- 2018),3:1,Aalst,KSC Eendracht Aalst
60/61,14.speeldag,24 dec. 1960,17:00,Beers.,Royal Beerschot AC,1:0,RSCA,RSC Anderlecht
60/61,14.speeldag,24 dec. 1960,17:00,Associ,Association Royale Athlétique Gent,1:3,RUSG,Union Saint-Gilloise
60/61,14.speeldag,25 dec. 1960,14:45,STVV,Sint-Truidense VV,1:0,RAFC,R Antwerp FC
60/61,14.speeldag,25 dec. 1960,14:45,DAR,Daring Club Brussel,3:0,Waters,Waterschei SV THOR (- 1988)
60/61,14.speeldag,25 dec. 1960,14:45,1 mrt. 1961,19:00,Standard Luik,2:2,FCB
60/61,14.speeldag,25 dec. 1960,14:45,Club Brugge,12 mrt. 1961,15:00,KPaEis,K Patro Eisden
60/61,14.speeldag,25 dec. 1960,14:45,3:2,Vervié,Stade Verviétois,Lierse,Lierse SK (- 2018)
60/61,14.speeldag,25 dec. 1960,14:45,1:1,RFCL,RFC Luik,18 mrt. 1961,17:00
60/61,14.speeldag,25 dec. 1960,14:45,Olympi,Olympic Charleroi,1:1,Aalst,KSC Eendracht Aalst
60/61,15.speeldag,11 mei 1961,15:00,FCB,Club Brugge,4:1,Lierse,Lierse SK (- 2018)
60/61,15.speeldag,11 mei 1961,15:00,RUSG,Union Saint-Gilloise,4:0,KPaEis,K Patro Eisden
60/61,15.speeldag,11 mei 1961,15:00,RFCL,RFC Luik,1:1,Olympi,Olympic Charleroi
60/61,15.speeldag,11 mei 1961,15:00,Vervié,Stade Verviétois,1:3,STVV,Sint-Truidense VV
60/61,15.speeldag,11 mei 1961,15:00,RAFC,R Antwerp FC,1:4,Standard Luik,Standard Luik
60/61,15.speeldag,11 mei 1961,15:00,Aalst,KSC Eendracht Aalst,1:2,DAR,Daring Club Brussel
60/61,15.speeldag,11 mei 1961,15:00,RSCA,RSC Anderlecht,0:5,Associ,Association Royale Athlétique Gent
60/61,15.speeldag,11 mei 1961,15:00,Waters,Waterschei SV THOR (- 1988),2:3,Beers.,Royal Beerschot AC
60/61,16.speeldag,8 jan. 1961,14:45,RAFC,R Antwerp FC,5:1,Aalst,KSC Eendracht Aalst
60/61,16.speeldag,8 jan. 1961,14:45,RSCA,RSC Anderlecht,1:1,Olympi,Olympic Charleroi
60/61,16.speeldag,8 jan. 1961,14:45,RUSG,Union Saint-Gilloise,4:1,FCB,Club Brugge
60/61,16.speeldag,8 jan. 1961,14:45,KPaEis,K Patro Eisden,0:1,DAR,Daring Club Brussel
60/61,16.speeldag,8 jan. 1961,14:45,Associ,Association Royale Athlétique Gent,1:1,RFCL,RFC Luik
60/61,16.speeldag,8 jan. 1961,14:45,Lierse,Lierse SK (- 2018),3:1,Waters,Waterschei SV THOR (- 1988)
60/61,16.speeldag,8 jan. 1961,14:45,19 mrt. 1961,15:00,Vervié,Stade Verviétois,0:0
60/61,16.speeldag,8 jan. 1961,14:45,Beers.,Royal Beerschot AC,1 apr. 1961,18:00,SL
60/61,16.speeldag,8 jan. 1961,14:45,Standard Luik,Standard Luik,1:0,STVV,Sint-Truidense VV
60/61,17.speeldag,15 jan. 1961,15:00,Aalst,KSC Eendracht Aalst,3:3,Standard Luik,Standard Luik
60/61,17.speeldag,15 jan. 1961,15:00,RFCL,RFC Luik,0:0,RSCA,RSC Anderlecht
60/61,17.speeldag,15 jan. 1961,15:00,DAR,Daring Club Brussel,1:1,RAFC,R Antwerp FC
60/61,17.speeldag,15 jan. 1961,15:00,Beers.,Royal Beerschot AC,2:0,Associ,Association Royale Athlétique Gent
60/61,17.speeldag,15 jan. 1961,15:00,FCB,Club Brugge,3:1,KPaEis,K Patro Eisden
60/61,17.speeldag,15 jan. 1961,15:00,STVV,Sint-Truidense VV,1:0,RUSG,Union Saint-Gilloise
60/61,17.speeldag,15 jan. 1961,15:00,Waters,Waterschei SV THOR (- 1988),4:0,Vervié,Stade Verviétois
60/61,17.speeldag,1 apr. 1961,17:00,Olympi,Olympic Charleroi,0:0,Lierse,Lierse SK (- 2018)
60/61,18.speeldag,22 jan. 1961,15:00,Olympi,Olympic Charleroi,0:2,Standard Luik,Standard Luik
60/61,18.speeldag,22 jan. 1961,15:00,RSCA,RSC Anderlecht,7:0,Aalst,KSC Eendracht Aalst
60/61,18.speeldag,22 jan. 1961,15:00,RAFC,R Antwerp FC,3:1,RUSG,Union Saint-Gilloise
60/61,18.speeldag,22 jan. 1961,15:00,Lierse,Lierse SK (- 2018),1:1,Beers.,Royal Beerschot AC
60/61,18.speeldag,22 jan. 1961,15:00,Vervié,Stade Verviétois,0:3,FCB,Club Brugge
60/61,18.speeldag,22 jan. 1961,15:00,Associ,Association Royale Athlétique Gent,0:1,DAR,Daring Club Brussel
60/61,18.speeldag,22 jan. 1961,15:00,KPaEis,K Patro Eisden,0:0,STVV,Sint-Truidense VV
60/61,18.speeldag,22 jan. 1961,15:00,RFCL,RFC Luik,0:1,Waters,Waterschei SV THOR (- 1988)
60/61,19.speeldag,29 jan. 1961,15:00,Beers.,Royal Beerschot AC,3:1,Olympi,Olympic Charleroi
60/61,19.speeldag,29 jan. 1961,15:00,DAR,Daring Club Brussel,2:2,Lierse,Lierse SK (- 2018)
60/61,19.speeldag,29 jan. 1961,15:00,STVV,Sint-Truidense VV,3:2,Associ,Association Royale Athlétique Gent
60/61,19.speeldag,29 jan. 1961,15:00,RUSG,Union Saint-Gilloise,0:9,RFCL,RFC Luik
60/61,19.speeldag,29 jan. 1961,15:00,Standard Luik,Standard Luik,4:0,KPaEis,K Patro Eisden
60/61,19.speeldag,29 jan. 1961,15:00,Aalst,KSC Eendracht Aalst,1:0,Vervié,Stade Verviétois
60/61,19.speeldag,29 jan. 1961,15:00,Waters,Waterschei SV THOR (- 1988),2:4,RSCA,RSC Anderlecht
60/61,19.speeldag,29 jan. 1961,15:00,FCB,Club Brugge,1:1,RAFC,R Antwerp FC
60/61,20.speeldag,5 feb. 1961,15:00,Vervié,Stade Verviétois,3:3,Standard Luik,Standard Luik
60/61,20.speeldag,5 feb. 1961,15:00,Aalst,KSC Eendracht Aalst,2:0,RUSG,Union Saint-Gilloise
60/61,20.speeldag,5 feb. 1961,15:00,RSCA,RSC Anderlecht,1:0,STVV,Sint-Truidense VV
60/61,20.speeldag,5 feb. 1961,15:00,RAFC,R Antwerp FC,3:0,Beers.,Royal Beerschot AC
60/61,20.speeldag,5 feb. 1961,15:00,Waters,Waterschei SV THOR (- 1988),2:1,FCB,Club Brugge
60/61,20.speeldag,5 feb. 1961,15:00,RFCL,RFC Luik,0:0,DAR,Daring Club Brussel
60/61,20.speeldag,5 feb. 1961,15:00,Lierse,Lierse SK (- 2018),1:0,KPaEis,K Patro Eisden
60/61,20.speeldag,5 feb. 1961,15:00,Olympi,Olympic Charleroi,1:1,Associ,Association Royale Athlétique Gent
60/61,21.speeldag,12 feb. 1961,15:00,Standard Luik,Standard Luik,2:0,RFCL,RFC Luik
60/61,21.speeldag,12 feb. 1961,15:00,STVV,Sint-Truidense VV,2:2,Aalst,KSC Eendracht Aalst
60/61,21.speeldag,12 feb. 1961,15:00,Lierse,Lierse SK (- 2018),1:2,RSCA,RSC Anderlecht
60/61,21.speeldag,12 feb. 1961,15:00,KPaEis,K Patro Eisden,2:0,RAFC,R Antwerp FC
60/61,21.speeldag,12 feb. 1961,15:00,Beers.,Royal Beerschot AC,2:3,FCB,Club Brugge
60/61,21.speeldag,12 feb. 1961,15:00,DAR,Daring Club Brussel,1:1,Olympi,Olympic Charleroi
60/61,21.speeldag,12 feb. 1961,15:00,Associ,Association Royale Athlétique Gent,4:2,Waters,Waterschei SV THOR (- 1988)
60/61,21.speeldag,12 feb. 1961,15:00,RUSG,Union Saint-Gilloise,1:0,Vervié,Stade Verviétois
