60/61,21,12 feb. 1961,15:00,Beers.,Royal Beerschot AC,2,3,FCB,Club Brugge
60/61,21,12 feb. 1961,15:00,DAR,Daring Club Brussel,1,1,Olympi,Olympic Charleroi
60/61,21,12 feb. 1961,15:00,Associ,Association Royale Athl�tique Gent,4,2,Waters,Waterschei SV THOR (- 1988)
60/61,21,12 feb. 1961,15:00,RUSG,Union Saint-Gilloise,1,0,Vervi�,Stade Vervi�tois
60/61,22,19 feb. 1961,15:00,RSCA,RSC Anderlecht,1,1,Standard Luik,Standard Luik
60/61,22,19 feb. 1961,15:00,FCB,Club Brugge,2,2,Aalst,KSC Eendracht Aalst
60/61,22,19 feb. 1961,15:00,Vervi�,Stade Vervi�tois,2,2,RAFC,R Antwerp FC
60/61,22,19 feb. 1961,15:00,Beers.,Royal Beerschot AC,2,1,DAR,Daring Club Brussel
60/61,22,19 feb. 1961,15:00,Waters,Waterschei SV THOR (- 1988),0,2,KPaEis,K Patro Eisden
60/61,22,19 feb. 1961,15:00,Associ,Association Royale Athl�tique Gent,1,1,Lierse,Lierse SK (- 2018)
60/61,22,19 feb. 1961,15:00,RFCL,RFC Luik,1,0,STVV,Sint-Truidense VV
60/61,22,19 feb. 1961,15:00,Olympi,Olympic Charleroi,1,0,RUSG,Union Saint-Gilloise
60/61,23,26 feb. 1961,15:00,Standard Luik,Standard Luik,1,0,Beers.,Royal Beerschot AC
60/61,23,26 feb. 1961,15:00,Aalst,KSC Eendracht Aalst,1,1,Associ,Association Royale Athl�tique Gent
60/61,23,26 feb. 1961,15:00,Vervi�,Stade Vervi�tois,0,2,RSCA,RSC Anderlecht
60/61,23,26 feb. 1961,15:00,RAFC,R Antwerp FC,1,0,Waters,Waterschei SV THOR (- 1988)
60/61,23,26 feb. 1961,15:00,FCB,Club Brugge,3,0,Olympi,Olympic Charleroi
60/61,23,26 feb. 1961,15:00,RUSG,Union Saint-Gilloise,3,4,DAR,Daring Club Brussel
60/61,23,26 feb. 1961,15:00,KPaEis,K Patro Eisden,1,3,RFCL,RFC Luik
60/61,23,26 feb. 1961,15:00,STVV,Sint-Truidense VV,3,1,Lierse,Lierse SK (- 2018)
60/61,24,5 mrt. 1961,15:00,Standard Luik,Standard Luik,2,0,RUSG,Union Saint-Gilloise
60/61,24,5 mrt. 1961,15:00,KPaEis,K Patro Eisden,3,1,Aalst,KSC Eendracht Aalst
60/61,24,5 mrt. 1961,15:00,DAR,Daring Club Brussel,1,0,RSCA,RSC Anderlecht
60/61,24,5 mrt. 1961,15:00,Lierse,Lierse SK (- 2018),2,2,RAFC,R Antwerp FC
60/61,24,5 mrt. 1961,15:00,Beers.,Royal Beerschot AC,0,2,RFCL,RFC Luik
60/61,24,5 mrt. 1961,15:00,STVV,Sint-Truidense VV,4,0,FCB,Club Brugge
60/61,24,5 mrt. 1961,15:00,Associ,Association Royale Athl�tique Gent,0,2,Vervi�,Stade Vervi�tois
60/61,24,5 mrt. 1961,15:00,Olympi,Olympic Charleroi,1,1,Waters,Waterschei SV THOR (- 1988)
60/61,25,26 mrt. 1961,15:00,RUSG,Union Saint-Gilloise,2,1,Associ,Association Royale Athl�tique Gent
60/61,25,26 mrt. 1961,15:00,RFCL,RFC Luik,2,0,Lierse,Lierse SK (- 2018)
60/61,25,26 mrt. 1961,15:00,Aalst,KSC Eendracht Aalst,2,2,Olympi,Olympic Charleroi
60/61,25,26 mrt. 1961,15:00,RSCA,RSC Anderlecht,1,0,Beers.,Royal Beerschot AC
60/61,25,26 mrt. 1961,15:00,RAFC,R Antwerp FC,2,0,STVV,Sint-Truidense VV
60/61,25,26 mrt. 1961,15:00,Waters,Waterschei SV THOR (- 1988),2,1,DAR,Daring Club Brussel
60/61,25,26 mrt. 1961,15:00,Vervi�,Stade Vervi�tois,2,0,KPaEis,K Patro Eisden
60/61,26,9 apr. 1961,15:00,Standard Luik,Standard Luik,2,0,RAFC,R Antwerp FC
60/61,26,9 apr. 1961,15:00,DAR,Daring Club Brussel,0,0,Aalst,KSC Eendracht Aalst
60/61,26,9 apr. 1961,15:00,Associ,Association Royale Athl�tique Gent,3,1,RSCA,RSC Anderlecht
60/61,26,9 apr. 1961,15:00,Beers.,Royal Beerschot AC,0,0,Waters,Waterschei SV THOR (- 1988)
60/61,26,9 apr. 1961,15:00,Lierse,Lierse SK (- 2018),6,2,FCB,Club Brugge
60/61,26,9 apr. 1961,15:00,KPaEis,K Patro Eisden,1,1,RUSG,Union Saint-Gilloise
60/61,26,9 apr. 1961,15:00,Olympi,Olympic Charleroi,0,3,RFCL,RFC Luik
60/61,26,9 apr. 1961,15:00,STVV,Sint-Truidense VV,1,0,Vervi�,Stade Vervi�tois
60/61,27,16 apr. 1961,15:00,Lierse,Lierse SK (- 2018),0,6,Standard Luik,Standard Luik
60/61,27,16 apr. 1961,15:00,Waters,Waterschei SV THOR (- 1988),1,0,Aalst,KSC Eendracht Aalst
60/61,27,16 apr. 1961,15:00,RSCA,RSC Anderlecht,3,0,RUSG,Union Saint-Gilloise
60/61,27,16 apr. 1961,15:00,Olympi,Olympic Charleroi,2,0,RAFC,R Antwerp FC
60/61,27,16 apr. 1961,15:00,Beers.,Royal Beerschot AC,3,2,KPaEis,K Patro Eisden
60/61,27,16 apr. 1961,15:00,Associ,Association Royale Athl�tique Gent,4,1,FCB,Club Brugge
60/61,27,16 apr. 1961,15:00,DAR,Daring Club Brussel,0,3,STVV,Sint-Truidense VV
60/61,27,16 apr. 1961,15:00,RFCL,RFC Luik,1,0,Vervi�,Stade Vervi�tois
60/61,28,23 apr. 1961,15:00,Standard Luik,Standard Luik,3,1,Associ,Association Royale Athl�tique Gent
60/61,28,23 apr. 1961,15:00,Aalst,KSC Eendracht Aalst,1,1,Beers.,Royal Beerschot AC
60/61,28,23 apr. 1961,15:00,RAFC,R Antwerp FC,0,2,RSCA,RSC Anderlecht
60/61,28,23 apr. 1961,15:00,FCB,Club Brugge,1,1,RFCL,RFC Luik
60/61,28,23 apr. 1961,15:00,Vervi�,Stade Vervi�tois,2,1,DAR,Daring Club Brussel
60/61,28,23 apr. 1961,15:00,KPaEis,K Patro Eisden,2,2,Olympi,Olympic Charleroi
60/61,28,23 apr. 1961,15:00,RUSG,Union Saint-Gilloise,4,4,Lierse,Lierse SK (- 2018)
60/61,28,23 apr. 1961,15:00,STVV,Sint-Truidense VV,0,0,Waters,Waterschei SV THOR (- 1988)
60/61,29,30 apr. 1961,15:00,Waters,Waterschei SV THOR (- 1988),1,1,Standard Luik,Standard Luik
