seizoen,speeldag,stand,ploeg,aantal_gespeelde_matchen,aantal_gewonnen_matchen,aantal_gelijkgespeelde_matchen,aantal_verloren_matchen,doelpunten,puntenverschil,punten
88/89,14.speeldag,1,KV Mechelen,14,11,3,0,29:9,20,25:3
88/89,14.speeldag,2,RSC Anderlecht,14,10,2,2,31:12,19,22:6
88/89,14.speeldag,3,RC Luik,14,8,5,1,28:10,18,21:7
88/89,14.speeldag,4,Club Brugge,14,8,3,3,30:14,16,19:9
88/89,14.speeldag,5,Antwerp FC,14,7,4,3,28:19,9,18:10
88/89,14.speeldag,6,St-Truidense VV,14,6,4,4,17:19,-2,16:12
88/89,14.speeldag,7,KV Kortrijk,14,6,3,5,26:22,4,15:13
88/89,14.speeldag,8,KSV Waregem,14,6,2,6,21:24,-3,14:14
88/89,14.speeldag,9,Standard Luik,14,5,4,5,18:18,0,14:14
88/89,14.speeldag,10,KSC Lokeren,14,5,3,6,19:18,1,13:15
88/89,14.speeldag,11,RWD Molenbeek,14,5,2,7,12:19,-7,12:16
88/89,14.speeldag,12,VAC Beerschot,14,3,4,7,17:24,-7,10:18
88/89,14.speeldag,13,Lierse SK,14,3,4,7,10:22,-12,10:18
88/89,14.speeldag,14,KSK Beveren,14,3,3,8,15:21,-6,9:19
88/89,14.speeldag,15,Racing Mechelen,14,3,3,8,17:24,-7,9:19
88/89,14.speeldag,16,R Charleroi SC,14,2,5,7,11:26,-15,9:1917
88/89,14.speeldag,17,Cercle Brugge,14,2,4,8,13:22,-9,8:2018
88/89,14.speeldag,18,KRC Genk,14,1,6,7,7:26,-19,8:20
88/89,15.speeldag,1,KV Mechelen,15,11,3,1,29:12,17,25:5
88/89,15.speeldag,2,RSC Anderlecht,15,10,3,2,33:14,19,23:7
88/89,15.speeldag,3,RC Luik,15,9,5,1,31:11,20,23:7
88/89,15.speeldag,4,Antwerp FC,15,8,4,3,29:19,10,20:10
88/89,15.speeldag,5,Club Brugge,15,8,3,4,31:17,14,19:11
88/89,15.speeldag,6,KSV Waregem,15,7,2,6,24:24,0,16:14
88/89,15.speeldag,7,KV Kortrijk,15,6,4,5,26:22,4,16:14
88/89,15.speeldag,8,St-Truidense VV,15,6,4,5,18:21,-3,16:14
88/89,15.speeldag,9,Standard Luik,15,5,5,5,20:20,0,15:15
88/89,15.speeldag,10,KSC Lokeren,15,5,3,7,20:20,0,13:17
88/89,15.speeldag,11,RWD Molenbeek,15,5,2,8,13:22,-9,12:18
88/89,15.speeldag,12,KSK Beveren,15,4,3,8,17:22,-5,11:19
88/89,15.speeldag,13,R Charleroi SC,15,3,5,7,13:26,-13,11:19
88/89,15.speeldag,14,Racing Mechelen,15,3,4,8,17:24,-7,10:20
88/89,15.speeldag,15,Cercle Brugge,15,3,4,8,16:23,-7,10:20
88/89,15.speeldag,16,VAC Beerschot,15,3,4,8,17:26,-9,10:2017
88/89,15.speeldag,17,Lierse SK,15,3,4,8,10:23,-13,10:2018
88/89,15.speeldag,18,KRC Genk,15,2,6,7,9:27,-18,10:20
88/89,16.speeldag,1,KV Mechelen,16,12,3,1,31:12,19,27:5
88/89,16.speeldag,2,RSC Anderlecht,16,11,3,2,35:14,21,25:7
88/89,16.speeldag,3,RC Luik,16,10,5,1,38:12,26,25:7
88/89,16.speeldag,4,Club Brugge,16,9,3,4,34:17,17,21:11
88/89,16.speeldag,5,Antwerp FC,16,8,5,3,30:20,10,21:11
88/89,16.speeldag,6,St-Truidense VV,16,7,4,5,20:22,-2,18:14
88/89,16.speeldag,7,KSV Waregem,16,7,3,6,25:25,0,17:15
88/89,16.speeldag,8,KV Kortrijk,16,6,5,5,26:22,4,17:15
88/89,16.speeldag,9,Standard Luik,16,5,5,6,20:22,-2,15:17
88/89,16.speeldag,10,KSC Lokeren,16,5,4,7,21:21,0,14:18
88/89,16.speeldag,11,RWD Molenbeek,16,5,3,8,14:23,-9,13:19
88/89,16.speeldag,12,R Charleroi SC,16,3,6,7,14:27,-13,12:20
88/89,16.speeldag,13,KSK Beveren,16,4,3,9,17:24,-7,11:21
88/89,16.speeldag,14,VAC Beerschot,16,3,5,8,17:26,-9,11:21
88/89,16.speeldag,15,Lierse SK,16,3,5,8,11:24,-13,11:21
88/89,16.speeldag,16,Cercle Brugge,16,3,4,9,17:25,-8,10:2217
88/89,16.speeldag,17,Racing Mechelen,16,3,4,9,18:31,-13,10:2218
88/89,16.speeldag,18,KRC Genk,16,2,6,8,9:30,-21,10:22
88/89,17.speeldag,1,KV Mechelen,17,12,4,1,32:13,19,28:6
88/89,17.speeldag,2,RSC Anderlecht,17,12,3,2,38:15,23,27:7
88/89,17.speeldag,3,RC Luik,17,10,5,2,38:13,25,25:9
88/89,17.speeldag,4,Club Brugge,17,10,3,4,38:18,20,23:11
88/89,17.speeldag,5,Antwerp FC,17,8,6,3,33:23,10,22:12
88/89,17.speeldag,6,St-Truidense VV,17,8,4,5,21:22,-1,20:14
88/89,17.speeldag,7,KSV Waregem,17,7,3,7,25:26,-1,17:17
88/89,17.speeldag,8,KV Kortrijk,17,6,5,6,27:24,3,17:17
88/89,17.speeldag,9,Standard Luik,17,5,6,6,23:25,-2,16:18
88/89,17.speeldag,10,KSC Lokeren,17,5,4,8,21:24,-3,14:20
88/89,17.speeldag,11,R Charleroi SC,17,4,6,7,16:28,-12,14:20
88/89,17.speeldag,12,RWD Molenbeek,17,5,3,9,15:27,-12,13:21
88/89,17.speeldag,13,VAC Beerschot,17,4,5,8,18:26,-8,13:21
88/89,17.speeldag,14,Lierse SK,17,4,5,8,12:24,-12,13:21
88/89,17.speeldag,15,KSK Beveren,17,4,4,9,18:25,-7,12:22
88/89,17.speeldag,16,Racing Mechelen,17,4,4,9,21:31,-10,12:2217
88/89,17.speeldag,17,Cercle Brugge,17,3,4,10,18:28,-10,10:2418
88/89,17.speeldag,18,KRC Genk,17,2,6,9,9:31,-22,10:24
88/89,18.speeldag,1,KV Mechelen,18,13,4,1,34:13,21,30:6
88/89,18.speeldag,2,RSC Anderlecht,18,13,3,2,44:16,28,29:7
88/89,18.speeldag,3,RC Luik,18,10,6,2,39:14,25,26:10
88/89,18.speeldag,4,Club Brugge,18,10,4,4,39:19,20,24:12
88/89,18.speeldag,5,Antwerp FC,18,8,7,3,34:24,10,23:13
88/89,18.speeldag,6,St-Truidense VV,18,9,4,5,23:23,0,22:14
88/89,18.speeldag,7,KV Kortrijk,18,7,5,6,31:25,6,19:17
88/89,18.speeldag,8,Standard Luik,18,6,6,6,25:26,-1,18:18
88/89,18.speeldag,9,KSV Waregem,18,7,3,8,26:28,-2,17:19
88/89,18.speeldag,10,KSC Lokeren,18,5,5,8,23:26,-3,15:21
88/89,18.speeldag,11,R Charleroi SC,18,4,7,7,17:29,-12,15:21
88/89,18.speeldag,12,VAC Beerschot,18,4,6,8,20:28,-8,14:22
88/89,18.speeldag,13,RWD Molenbeek,18,5,3,10,16:29,-13,13:23
88/89,18.speeldag,14,KSK Beveren,18,4,5,9,19:26,-7,13:23
88/89,18.speeldag,15,Racing Mechelen,18,4,5,9,22:32,-10,13:23
88/89,18.speeldag,16,Lierse SK,18,4,5,9,13:28,-15,13:2317
88/89,18.speeldag,17,Cercle Brugge,18,3,4,11,18:30,-12,10:2618
88/89,18.speeldag,18,KRC Genk,18,2,6,10,10:37,-27,10:26
88/89,19.speeldag,1,KV Mechelen,19,14,4,1,36:13,23,32:6
88/89,19.speeldag,2,RSC Anderlecht,19,14,3,2,48:17,31,31:7
88/89,19.speeldag,3,RC Luik,19,10,7,2,40:15,25,27:11
88/89,19.speeldag,4,Club Brugge,19,11,4,4,40:19,21,26:12
88/89,19.speeldag,5,Antwerp FC,19,9,7,3,37:24,13,25:13
88/89,19.speeldag,6,St-Truidense VV,19,9,4,6,23:25,-2,22:16
88/89,19.speeldag,7,KV Kortrijk,19,7,6,6,32:26,6,20:18
88/89,19.speeldag,8,Standard Luik,19,7,6,6,28:26,2,20:18
88/89,19.speeldag,9,KSV Waregem,19,8,3,8,30:29,1,19:19
88/89,19.speeldag,10,KSC Lokeren,19,5,6,8,24:27,-3,16:22
88/89,19.speeldag,11,R Charleroi SC,19,4,8,7,18:30,-12,16:22
88/89,19.speeldag,12,Racing Mechelen,19,5,5,9,24:32,-8,15:23
88/89,19.speeldag,13,VAC Beerschot,19,4,6,9,20:29,-9,14:24
88/89,19.speeldag,14,RWD Molenbeek,19,5,3,11,17:33,-16,13:25
88/89,19.speeldag,15,KSK Beveren,19,4,5,10,20:30,-10,13:25
88/89,19.speeldag,16,Lierse SK,19,4,5,10,13:31,-18,13:2517
88/89,19.speeldag,17,Cercle Brugge,19,3,4,12,18:33,-15,10:2818
88/89,19.speeldag,18,KRC Genk,19,2,6,11,10:39,-29,10:28
88/89,20.speeldag,1,KV Mechelen,20,15,4,1,40:13,27,34:6
88/89,20.speeldag,2,RSC Anderlecht,20,15,3,2,52:17,35,33:7
88/89,20.speeldag,3,Club Brugge,20,11,5,4,41:20,21,27:13
88/89,20.speeldag,4,RC Luik,20,10,7,3,40:16,24,27:13
88/89,20.speeldag,5,Antwerp FC,20,9,8,3,38:25,13,26:14
88/89,20.speeldag,6,St-Truidense VV,20,9,4,7,23:26,-3,22:18
88/89,20.speeldag,7,KV Kortrijk,20,7,7,6,33:27,6,21:19
88/89,20.speeldag,8,Standard Luik,20,7,6,7,28:27,1,20:20
88/89,20.speeldag,9,KSV Waregem,20,8,3,9,30:32,-2,19:21
88/89,20.speeldag,10,KSC Lokeren,20,5,7,8,25:28,-3,17:23
88/89,20.speeldag,11,R Charleroi SC,20,4,9,7,19:31,-12,17:23
88/89,20.speeldag,12,VAC Beerschot,20,5,6,9,21:29,-8,16:24
88/89,20.speeldag,13,KSK Beveren,20,5,5,10,21:30,-9,15:25
88/89,20.speeldag,14,Racing Mechelen,20,5,5,10,24:36,-12,15:25
88/89,20.speeldag,15,Lierse SK,20,5,5,10,14:31,-17,15:25
88/89,20.speeldag,16,RWD Molenbeek,20,5,3,12,17:37,-20,13:2717
88/89,20.speeldag,17,Cercle Brugge,20,4,4,12,21:33,-12,12:2818
88/89,20.speeldag,18,KRC Genk,20,2,7,11,11:40,-29,11:29
88/89,21.speeldag,1,KV Mechelen,21,16,4,1,43:13,30,36:6
88/89,21.speeldag,2,RSC Anderlecht,21,15,4,2,55:20,35,34:8
88/89,21.speeldag,3,RC Luik,21,11,7,3,43:16,27,29:13
88/89,21.speeldag,4,Club Brugge,21,11,6,4,42:21,21,28:14
88/89,21.speeldag,5,Antwerp FC,21,9,8,4,38:26,12,26:16
88/89,21.speeldag,6,St-Truidense VV,21,9,5,7,23:26,-3,23:19
88/89,21.speeldag,7,Standard Luik,21,8,6,7,29:27,2,22:20
88/89,21.speeldag,8,KV Kortrijk,21,7,8,6,34:28,6,22:20
88/89,21.speeldag,9,KSV Waregem,21,9,3,9,33:33,0,21:21
88/89,21.speeldag,10,R Charleroi SC,21,4,10,7,19:31,-12,18:24
88/89,21.speeldag,11,KSK Beveren,21,6,5,10,23:30,-7,17:25
88/89,21.speeldag,12,KSC Lokeren,21,5,7,9,25:31,-6,17:25
88/89,21.speeldag,13,VAC Beerschot,21,5,7,9,24:32,-8,17:25
88/89,21.speeldag,14,RWD Molenbeek,21,6,3,12,18:37,-19,15:27
88/89,21.speeldag,15,Racing Mechelen,21,5,5,11,24:39,-15,15:27
88/89,21.speeldag,16,Lierse SK,21,5,5,11,14:33,-19,15:2717
88/89,21.speeldag,17,Cercle Brugge,21,4,4,13,21:34,-13,12:3018
88/89,21.speeldag,18,KRC Genk,21,2,7,12,12:43,-31,11:31
88/89,22.speeldag,1,KV Mechelen,22,17,4,1,46:14,32,38:6
88/89,22.speeldag,2,RSC Anderlecht,22,15,5,2,55:20,35,35:9
88/89,22.speeldag,3,RC Luik,22,11,8,3,43:16,27,30:14
88/89,22.speeldag,4,Club Brugge,22,11,7,4,42:21,21,29:15
88/89,22.speeldag,5,Antwerp FC,22,10,8,4,40:26,14,28:16
88/89,22.speeldag,6,Standard Luik,22,9,6,7,31:28,3,24:20
88/89,22.speeldag,7,St-Truidense VV,22,9,6,7,25:28,-3,24:20
88/89,22.speeldag,8,KSV Waregem,22,10,3,9,37:34,3,23:21
88/89,22.speeldag,9,KV Kortrijk,22,7,9,6,36:30,6,23:21
88/89,22.speeldag,10,KSK Beveren,22,7,5,10,24:30,-6,19:25
88/89,22.speeldag,11,R Charleroi SC,22,4,11,7,19:31,-12,19:25
88/89,22.speeldag,12,Lierse SK,22,6,5,11,15:33,-18,17:27
88/89,22.speeldag,13,KSC Lokeren,22,5,7,10,25:32,-7,17:27
88/89,22.speeldag,14,VAC Beerschot,22,5,7,10,25:35,-10,17:27
88/89,22.speeldag,15,RWD Molenbeek,22,6,3,13,19:41,-22,15:29
88/89,22.speeldag,16,Racing Mechelen,22,5,5,12,24:41,-17,15:2917
88/89,22.speeldag,17,Cercle Brugge,22,4,4,14,21:35,-14,12:3218
88/89,22.speeldag,18,KRC Genk,22,2,7,13,13:45,-32,11:33
88/89,23.speeldag,1,KV Mechelen,23,18,4,1,49:14,35,40:6
88/89,23.speeldag,2,RSC Anderlecht,23,15,6,2,57:22,35,36:10
88/89,23.speeldag,3,RC Luik,23,12,8,3,47:16,31,32:14
88/89,23.speeldag,4,Club Brugge,23,11,8,4,44:23,21,30:16
88/89,23.speeldag,5,Antwerp FC,23,11,8,4,44:27,17,30:16
88/89,23.speeldag,6,Standard Luik,23,10,6,7,33:29,4,26:20
88/89,23.speeldag,7,St-Truidense VV,23,9,6,8,25:32,-7,24:22
88/89,23.speeldag,8,KV Kortrijk,23,7,10,6,38:32,6,24:22
88/89,23.speeldag,9,KSV Waregem,23,10,3,10,37:35,2,23:23
88/89,23.speeldag,10,KSK Beveren,23,8,5,10,26:31,-5,21:25
88/89,23.speeldag,11,R Charleroi SC,23,4,11,8,19:34,-15,19:27
88/89,23.speeldag,12,Lierse SK,23,6,6,11,16:34,-18,18:28
88/89,23.speeldag,13,KSC Lokeren,23,5,8,10,27:34,-7,18:28
88/89,23.speeldag,14,Racing Mechelen,23,6,5,12,25:41,-16,17:29
88/89,23.speeldag,15,VAC Beerschot,23,5,7,11,26:39,-13,17:29
88/89,23.speeldag,16,RWD Molenbeek,23,6,3,14,20:43,-23,15:3117
88/89,23.speeldag,17,Cercle Brugge,23,4,5,14,22:36,-14,13:3318
88/89,23.speeldag,18,KRC Genk,23,2,7,14,14:47,-33,11:35
88/89,24.speeldag,1,KV Mechelen,24,18,5,1,49:14,35,41:7
88/89,24.speeldag,2,RSC Anderlecht,24,15,6,3,57:24,33,36:12
88/89,24.speeldag,3,RC Luik,24,13,8,3,49:16,33,34:14
88/89,24.speeldag,4,Club Brugge,24,12,8,4,47:24,23,32:16
88/89,24.speeldag,5,Antwerp FC,24,12,8,4,48:28,20,32:16
88/89,24.speeldag,6,Standard Luik,24,11,6,7,36:30,6,28:20
88/89,24.speeldag,7,KV Kortrijk,24,7,11,6,38:32,6,25:23
88/89,24.speeldag,8,KSV Waregem,24,10,4,10,38:36,2,24:24
88/89,24.speeldag,9,St-Truidense VV,24,9,6,9,27:36,-9,24:24
88/89,24.speeldag,10,KSK Beveren,24,8,5,11,28:34,-6,21:27
88/89,24.speeldag,11,KSC Lokeren,24,6,8,10,31:36,-5,20:28
88/89,24.speeldag,12,R Charleroi SC,24,4,11,9,20:38,-18,19:29
88/89,24.speeldag,13,Lierse SK,24,6,6,12,17:37,-20,18:30
88/89,24.speeldag,14,VAC Beerschot,24,5,8,11,27:40,-13,18:30
88/89,24.speeldag,15,RWD Molenbeek,24,7,3,14,23:45,-22,17:31
88/89,24.speeldag,16,Racing Mechelen,24,6,5,13,26:44,-18,17:3117
88/89,24.speeldag,17,Cercle Brugge,24,4,6,14,23:37,-14,14:3418
88/89,24.speeldag,18,KRC Genk,24,2,8,14,15:48,-33,12:36
88/89,25.speeldag,1,KV Mechelen,25,19,5,1,50:14,36,43:7
88/89,25.speeldag,2,RSC Anderlecht,25,16,6,3,62:25,37,38:12
88/89,25.speeldag,3,RC Luik,25,13,8,4,49:17,32,34:16
88/89,25.speeldag,4,Antwerp FC,25,12,9,4,48:28,20,33:17
88/89,25.speeldag,5,Club Brugge,25,12,8,5,48:29,19,32:18
88/89,25.speeldag,6,Standard Luik,25,12,6,7,38:30,8,30:20
88/89,25.speeldag,7,St-Truidense VV,25,10,6,9,32:37,-5,26:24
88/89,25.speeldag,8,KV Kortrijk,25,7,12,6,38:32,6,26:24
88/89,25.speeldag,9,KSV Waregem,25,10,4,11,39:38,1,24:26
88/89,25.speeldag,10,KSK Beveren,25,9,5,11,31:34,-3,23:27
88/89,25.speeldag,11,R Charleroi SC,25,5,11,9,22:39,-17,21:29
88/89,25.speeldag,12,Lierse SK,25,7,6,12,18:37,-19,20:30
88/89,25.speeldag,13,KSC Lokeren,25,6,8,11,32:41,-9,20:30
88/89,25.speeldag,14,VAC Beerschot,25,5,8,12,27:42,-15,18:32
88/89,25.speeldag,15,RWD Molenbeek,25,7,3,15,23:47,-24,17:33
88/89,25.speeldag,16,Racing Mechelen,25,6,5,14,26:47,-21,17:3317
88/89,25.speeldag,17,Cercle Brugge,25,5,6,14,25:37,-12,16:3418
88/89,25.speeldag,18,KRC Genk,25,2,8,15,15:49,-34,12:38
88/89,26.speeldag,1,KV Mechelen,26,20,5,1,53:14,39,45:7
88/89,26.speeldag,2,RSC Anderlecht,26,16,7,3,63:26,37,39:13
88/89,26.speeldag,3,Antwerp FC,26,13,9,4,49:28,21,35:17
88/89,26.speeldag,4,RC Luik,26,13,8,5,49:18,31,34:18
88/89,26.speeldag,5,Club Brugge,26,12,9,5,49:30,19,33:19
88/89,26.speeldag,6,Standard Luik,26,12,7,7,38:30,8,31:21
88/89,26.speeldag,7,KV Kortrijk,26,8,12,6,40:32,8,28:24
88/89,26.speeldag,8,St-Truidense VV,26,10,7,9,32:37,-5,27:25
88/89,26.speeldag,9,KSV Waregem,26,10,4,12,39:40,-1,24:28
88/89,26.speeldag,10,KSK Beveren,26,9,5,12,32:37,-5,23:29
88/89,26.speeldag,11,R Charleroi SC,26,5,12,9,22:39,-17,22:30
88/89,26.speeldag,12,Lierse SK,26,7,7,12,18:37,-19,21:31
88/89,26.speeldag,13,KSC Lokeren,26,6,8,12,32:44,-12,20:32
88/89,26.speeldag,14,VAC Beerschot,26,6,8,12,30:43,-13,20:32
88/89,26.speeldag,15,RWD Molenbeek,26,8,3,15,26:47,-21,19:33
88/89,26.speeldag,16,Cercle Brugge,26,6,6,14,26:37,-11,18:3417
88/89,26.speeldag,17,Racing Mechelen,26,6,5,15,26:48,-22,17:3518
88/89,26.speeldag,18,KRC Genk,26,2,8,16,15:52,-37,12:40
88/89,27.speeldag,1,KV Mechelen,27,21,5,1,54:14,40,47:7
88/89,27.speeldag,2,RSC Anderlecht,27,16,8,3,65:28,37,40:14
88/89,27.speeldag,3,Antwerp FC,27,14,9,4,53:29,24,37:17
88/89,27.speeldag,4,RC Luik,27,13,9,5,50:19,31,35:19
88/89,27.speeldag,5,Club Brugge,27,12,9,6,49:31,18,33:21
88/89,27.speeldag,6,Standard Luik,27,12,8,7,40:32,8,32:22
88/89,27.speeldag,7,KV Kortrijk,27,8,13,6,42:34,8,29:25
88/89,27.speeldag,8,St-Truidense VV,27,10,8,9,34:39,-5,28:26
88/89,27.speeldag,9,KSV Waregem,27,10,5,12,40:41,-1,25:29
88/89,27.speeldag,10,KSK Beveren,27,9,6,12,33:38,-5,24:30
88/89,27.speeldag,11,Lierse SK,27,8,7,12,21:38,-17,23:31
88/89,27.speeldag,12,R Charleroi SC,27,5,13,9,23:40,-17,23:31
88/89,27.speeldag,13,Cercle Brugge,27,7,6,14,29:38,-9,20:34
88/89,27.speeldag,14,KSC Lokeren,27,6,8,13,33:48,-15,20:34
88/89,27.speeldag,15,VAC Beerschot,27,6,8,13,31:46,-15,20:34
88/89,27.speeldag,16,RWD Molenbeek,27,8,3,16,27:50,-23,19:3517
88/89,27.speeldag,17,Racing Mechelen,27,6,6,15,27:49,-22,18:3618
88/89,27.speeldag,18,KRC Genk,27,2,9,16,16:53,-37,13:41
88/89,28.speeldag,1,KV Mechelen,28,21,6,1,54:14,40,48:8
88/89,28.speeldag,2,RSC Anderlecht,28,17,8,3,69:30,39,42:14
88/89,28.speeldag,3,RC Luik,28,14,9,5,51:19,32,37:19
88/89,28.speeldag,4,Antwerp FC,28,14,9,5,54:32,22,37:19
88/89,28.speeldag,5,Club Brugge,28,13,9,6,52:32,20,35:21
88/89,28.speeldag,6,Standard Luik,28,12,8,8,40:33,7,32:24
88/89,28.speeldag,7,KV Kortrijk,28,8,14,6,43:35,8,30:26
88/89,28.speeldag,8,St-Truidense VV,28,10,9,9,34:39,-5,29:27
88/89,28.speeldag,9,KSV Waregem,28,10,5,13,41:43,-2,25:31
88/89,28.speeldag,10,KSK Beveren,28,9,7,12,34:39,-5,25:31
88/89,28.speeldag,11,Lierse SK,28,8,7,13,23:42,-19,23:33
88/89,28.speeldag,12,R Charleroi SC,28,5,13,10,24:42,-18,23:33
88/89,28.speeldag,13,Cercle Brugge,28,8,6,14,31:39,-8,22:34
88/89,28.speeldag,14,VAC Beerschot,28,7,8,13,35:48,-13,22:34
88/89,28.speeldag,15,KSC Lokeren,28,7,8,13,35:49,-14,22:34
88/89,28.speeldag,16,Racing Mechelen,28,7,6,15,29:49,-20,20:3617
88/89,28.speeldag,17,RWD Molenbeek,28,8,3,17,27:52,-25,19:3718
88/89,28.speeldag,18,KRC Genk,28,2,9,17,18:57,-39,13:43
88/89,29.speeldag,1,KV Mechelen,29,21,6,2,55:16,39,48:10
88/89,29.speeldag,2,RSC Anderlecht,29,18,8,3,71:31,40,44:14
88/89,29.speeldag,3,RC Luik,29,14,10,5,51:19,32,38:20
88/89,29.speeldag,4,Antwerp FC,29,14,9,6,54:33,21,37:21
88/89,29.speeldag,5,Club Brugge,29,13,9,7,54:36,18,35:23
88/89,29.speeldag,6,Standard Luik,29,13,8,8,42:33,9,34:24
88/89,29.speeldag,7,St-Truidense VV,29,11,9,9,35:39,-4,31:27
88/89,29.speeldag,8,KV Kortrijk,29,8,14,7,43:37,6,30:28
88/89,29.speeldag,9,KSV Waregem,29,11,5,13,45:45,0,27:31
88/89,29.speeldag,10,KSK Beveren,29,9,8,12,34:39,-5,26:32
88/89,29.speeldag,11,R Charleroi SC,29,6,13,10,26:42,-16,25:33
88/89,29.speeldag,12,Cercle Brugge,29,9,6,14,33:39,-6,24:34
88/89,29.speeldag,13,Lierse SK,29,8,7,14,23:43,-20,23:35
88/89,29.speeldag,14,Racing Mechelen,29,8,6,15,30:49,-19,22:36
88/89,29.speeldag,15,KSC Lokeren,29,7,8,14,35:51,-16,22:36
88/89,29.speeldag,15,VAC Beerschot,29,7,8,14,35:51,-16,22:36
88/89,29.speeldag,17,RWD Molenbeek,29,9,3,17,30:52,-22,21:3718
88/89,29.speeldag,18,KRC Genk,29,2,9,18,18:59,-41,13:45
88/89,30.speeldag,1,KV Mechelen,30,22,6,2,56:16,40,50:10
88/89,30.speeldag,2,RSC Anderlecht,30,18,9,3,72:32,40,45:15
88/89,30.speeldag,3,RC Luik,30,15,10,5,55:19,36,40:20
88/89,30.speeldag,4,Antwerp FC,30,14,10,6,55:34,21,38:22
88/89,30.speeldag,5,Club Brugge,30,14,9,7,56:36,20,37:23
88/89,30.speeldag,6,Standard Luik,30,13,8,9,42:35,7,34:26
88/89,30.speeldag,7,St-Truidense VV,30,11,10,9,37:41,-4,32:28
88/89,30.speeldag,8,KV Kortrijk,30,9,14,7,49:39,10,32:28
88/89,30.speeldag,9,KSV Waregem,30,11,6,13,47:47,0,28:32
88/89,30.speeldag,10,KSK Beveren,30,9,8,13,34:42,-8,26:34
88/89,30.speeldag,11,R Charleroi SC,30,6,14,10,26:42,-16,26:34
88/89,30.speeldag,12,Cercle Brugge,30,9,6,15,33:43,-10,24:36
88/89,30.speeldag,13,KSC Lokeren,30,8,8,14,38:51,-13,24:36
88/89,30.speeldag,14,VAC Beerschot,30,8,8,14,37:51,-14,24:36
88/89,30.speeldag,15,Lierse SK,30,8,7,15,23:44,-21,23:37
88/89,30.speeldag,16,RWD Molenbeek,30,9,4,17,30:52,-22,22:3817
88/89,30.speeldag,17,Racing Mechelen,30,8,6,16,30:51,-21,22:3818
88/89,30.speeldag,18,KRC Genk,30,2,9,19,20:65,-45,13:47
89/90,1.speeldag,1,RSC Anderlecht,1,1,0,0,6:0,6,2:0
89/90,1.speeldag,2,R Charleroi SC,1,1,0,0,3:0,3,2:0
89/90,1.speeldag,2,KV Mechelen,1,1,0,0,3:0,3,2:0
89/90,1.speeldag,4,KV Kortrijk,1,1,0,0,3:1,2,2:0
89/90,1.speeldag,5,Cercle Brugge,1,1,0,0,1:0,1,2:0
89/90,1.speeldag,6,Standard Luik,1,0,1,0,1:1,0,1:1
89/90,1.speeldag,6,St-Truidense VV,1,0,1,0,1:1,0,1:1
89/90,1.speeldag,6,Club Brugge,1,0,1,0,1:1,0,1:1
89/90,1.speeldag,6,KSK Beveren,1,0,1,0,1:1,0,1:11
89/90,1.speeldag,0,Antwerp FC,1,0,1,0,0:0,0,1:11
89/90,1.speeldag,0,VAC Beerschot,1,0,1,0,0:0,0,1:11
89/90,1.speeldag,0,KSC Lokeren,1,0,1,0,0:0,0,1:11
89/90,1.speeldag,0,Lierse SK,1,0,1,0,0:0,0,1:11
89/90,1.speeldag,4,RC Luik,1,0,0,1,0:1,-1,0:21
89/90,1.speeldag,5,Germinal Ekeren,1,0,0,1,1:3,-2,0:21
89/90,1.speeldag,6,KAA Gent,1,0,0,1,0:3,-3,0:21
89/90,1.speeldag,6,Racing Mechelen,1,0,0,1,0:3,-3,0:21
89/90,1.speeldag,8,KSV Waregem,1,0,0,1,0:6,-6,0:
89/90,2.speeldag,1,KV Mechelen,2,2,0,0,4:0,4,4:0
89/90,2.speeldag,2,RSC Anderlecht,2,1,1,0,8:2,6,3:1
89/90,2.speeldag,3,Standard Luik,2,1,1,0,5:1,4,3:1
89/90,2.speeldag,4,KV Kortrijk,2,1,1,0,4:2,2,3:1
89/90,2.speeldag,5,KSC Lokeren,2,1,1,0,4:3,1,3:1
89/90,2.speeldag,6,R Charleroi SC,2,1,0,1,4:3,1,2:2
89/90,2.speeldag,7,RC Luik,2,1,0,1,2:1,1,2:2
89/90,2.speeldag,8,Cercle Brugge,2,1,0,1,2:2,0,2:2
89/90,2.speeldag,9,KAA Gent,2,1,0,1,3:4,-1,2:2
89/90,2.speeldag,10,KSV Waregem,2,1,0,1,2:7,-5,2:2
89/90,2.speeldag,11,Antwerp FC,2,0,2,0,2:2,0,2:2
89/90,2.speeldag,11,Club Brugge,2,0,2,0,2:2,0,2:2
89/90,2.speeldag,13,KSK Beveren,2,0,2,0,1:1,0,2:2
89/90,2.speeldag,14,VAC Beerschot,2,0,2,0,0:0,0,2:2
89/90,2.speeldag,15,St-Truidense VV,2,0,1,1,1:3,-2,1:3
89/90,2.speeldag,16,Lierse SK,2,0,1,1,0:4,-4,1:317
89/90,2.speeldag,17,Germinal Ekeren,2,0,0,2,1:4,-3,0:418
89/90,2.speeldag,18,Racing Mechelen,2,0,0,2,3:7,-4,0:4
89/90,3.speeldag,1,KV Mechelen,3,3,0,0,7:1,6,6:0
89/90,3.speeldag,2,RSC Anderlecht,3,2,1,0,9:2,7,5:1
89/90,3.speeldag,2,KV Kortrijk,3,2,1,0,9:2,7,5:1
89/90,3.speeldag,4,R Charleroi SC,3,2,0,1,7:4,3,4:2
89/90,3.speeldag,5,Cercle Brugge,3,2,0,1,4:2,2,4:2
89/90,3.speeldag,6,KAA Gent,3,2,0,1,5:5,0,4:2
